Session Key,Src IP,Src Port,Dst IP,Dst Port,Protocol,Init Ts,Last Ts,Duration,Mac Addr
ICMPv6 fe80::201:1:1:1 0 ff02::1a 0 155 1,fe80::201:1:1:1,0,ff02::1a,0,ICMPv6,2020-04-24 06:10:45.913000,2020-04-24 06:10:45.913000,0.0,"{'00:01:00:01:00:01:00:01', '0x0000ffff'}"
ICMPv6 fe80::201:1:1:1 0 fe80::205:5:5:5 0 155 1,fe80::201:1:1:1,0,fe80::205:5:5:5,0,ICMPv6,2020-04-24 06:10:46.370000,2020-04-24 06:10:48.502000,2132000.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}"
ICMPv6 fe80::201:1:1:1 0 fe80::20d:d:d:d 0 155 1,fe80::201:1:1:1,0,fe80::20d:d:d:d,0,ICMPv6,2020-04-24 06:10:47.412000,2020-04-24 06:10:48.703000,1291000.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
ICMPv6 fe80::201:1:1:1 0 fe80::212:12:12:12 0 155 1,fe80::201:1:1:1,0,fe80::212:12:12:12,0,ICMPv6,2020-04-24 06:10:48.441000,2020-04-24 06:10:48.539000,98000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
ICMPv6 fe80::201:1:1:1 0 fe80::213:13:13:13 0 155 1,fe80::201:1:1:1,0,fe80::213:13:13:13,0,ICMPv6,2020-04-24 06:10:49.303000,2020-04-24 06:10:49.303000,0.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
ICMPv6 fe80::201:1:1:1 0 fe80::205:5:5:5 0 155 1,fe80::201:1:1:1,0,fe80::205:5:5:5,0,ICMPv6,2020-04-24 06:10:51.710000,2020-04-24 06:10:51.710000,0.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}"
ICMPv6 fe80::201:1:1:1 0 fe80::212:12:12:12 0 155 1,fe80::201:1:1:1,0,fe80::212:12:12:12,0,ICMPv6,2020-04-24 06:10:52.189000,2020-04-24 06:10:52.767000,578000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
ICMPv6 fe80::201:1:1:1 0 fe80::20d:d:d:d 0 155 1,fe80::201:1:1:1,0,fe80::20d:d:d:d,0,ICMPv6,2020-04-24 06:10:52.677000,2020-04-24 06:10:53.923000,1246000.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
ICMPv6 fe80::201:1:1:1 0 fe80::213:13:13:13 0 155 1,fe80::201:1:1:1,0,fe80::213:13:13:13,0,ICMPv6,2020-04-24 06:10:52.780000,2020-04-24 06:10:52.780000,0.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
ICMPv6 ::201:1:1:1 0 ::205:5:5:5 0 155 2,::201:1:1:1,0,::205:5:5:5,0,ICMPv6,2020-04-24 06:10:53.737000,2020-04-24 06:10:53.737000,0.0,"{'00:01:00:01:00:01:00:01', '00:05:00:05:00:05:00:05'}"
ICMPv6 ::201:1:1:1 0 ::205:5:5:5 0 155 3,::201:1:1:1,0,::205:5:5:5,0,ICMPv6,2020-04-24 06:10:53.772000,2020-04-24 06:10:53.772000,0.0,"{'00:05:00:05:00:05:00:05', '00:01:00:01:00:01:00:01'}"
ICMPv6 fe80::201:1:1:1 0 ff02::1a 0 155 1,fe80::201:1:1:1,0,ff02::1a,0,ICMPv6,2020-04-24 06:10:54.409000,2020-04-24 06:10:54.409000,0.0,"{'00:01:00:01:00:01:00:01', '0x0000ffff'}"
ICMPv6 fe80::201:1:1:1 0 fe80::213:13:13:13 0 155 1,fe80::201:1:1:1,0,fe80::213:13:13:13,0,ICMPv6,2020-04-24 06:10:55.897000,2020-04-24 06:10:58.795000,2898000.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
ICMPv6 ::201:1:1:1 0 ::212:12:12:12 0 155 2,::201:1:1:1,0,::212:12:12:12,0,ICMPv6,2020-04-24 06:10:56.083000,2020-04-24 06:10:56.083000,0.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
ICMPv6 ::201:1:1:1 0 ::212:12:12:12 0 155 3,::201:1:1:1,0,::212:12:12:12,0,ICMPv6,2020-04-24 06:10:56.117000,2020-04-24 06:10:56.117000,0.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
ICMPv6 ::201:1:1:1 0 ::20d:d:d:d 0 155 2,::201:1:1:1,0,::20d:d:d:d,0,ICMPv6,2020-04-24 06:10:57.030000,2020-04-24 06:10:57.030000,0.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
ICMPv6 ::201:1:1:1 0 ::20d:d:d:d 0 155 3,::201:1:1:1,0,::20d:d:d:d,0,ICMPv6,2020-04-24 06:10:57.071000,2020-04-24 06:10:57.071000,0.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
TCP ::201:1:1:1 8887 ::212:12:12:12 1025,::201:1:1:1,8887,::212:12:12:12,1025,TCP,2020-04-24 06:10:57.096000,2020-04-24 06:10:57.183000,87000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
TCP ::201:1:1:1 8887 ::20d:d:d:d 1025,::201:1:1:1,8887,::20d:d:d:d,1025,TCP,2020-04-24 06:10:57.628000,2020-04-24 06:10:57.688000,60000.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
ICMPv6 ::201:1:1:1 0 ::213:13:13:13 0 155 2,::201:1:1:1,0,::213:13:13:13,0,ICMPv6,2020-04-24 06:11:02.214000,2020-04-24 06:11:02.214000,0.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
ICMPv6 ::201:1:1:1 0 ::213:13:13:13 0 155 3,::201:1:1:1,0,::213:13:13:13,0,ICMPv6,2020-04-24 06:11:02.254296,2020-04-24 06:11:02.334000,79704.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
TCP ::201:1:1:1 8887 ::213:13:13:13 1025,::201:1:1:1,8887,::213:13:13:13,1025,TCP,2020-04-24 06:11:02.462000,2020-04-24 06:11:02.631000,169000.0,"{'00:01:00:01:00:01:00:01', '00:13:00:13:00:13:00:13'}"
TCP ::201:1:1:1 8887 ::212:12:12:12 1025,::201:1:1:1,8887,::212:12:12:12,1025,TCP,2020-04-24 06:11:04.601000,2020-04-24 06:11:04.647000,46000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
TCP ::201:1:1:1 8887 ::20d:d:d:d 1025,::201:1:1:1,8887,::20d:d:d:d,1025,TCP,2020-04-24 06:11:05.128000,2020-04-24 06:11:05.158000,30000.0,"{'00:01:00:01:00:01:00:01', '00:0d:00:0d:00:0d:00:0d'}"
ICMPv6 ::201:1:1:1 0 ::209:9:9:9 0 155 2,::201:1:1:1,0,::209:9:9:9,0,ICMPv6,2020-04-24 06:11:08.365000,2020-04-24 06:11:08.374000,9000.0,"{'00:09:00:09:00:09:00:09', '00:05:00:05:00:05:00:05', '00:01:00:01:00:01:00:01'}"
ICMPv6 ::201:1:1:1 0 ::205:5:5:5 0 155 3,::201:1:1:1,0,::205:5:5:5,0,ICMPv6,2020-04-24 06:11:08.410000,2020-04-24 06:11:10.878000,2468000.0,"{'00:05:00:05:00:05:00:05', '00:01:00:01:00:01:00:01'}"
ICMPv6 ::201:1:1:1 0 ::209:9:9:9 0 155 3,::201:1:1:1,0,::209:9:9:9,0,ICMPv6,2020-04-24 06:11:08.451000,2020-04-24 06:11:08.451000,0.0,"{'00:09:00:09:00:09:00:09', '00:05:00:05:00:05:00:05'}"
ICMPv6 ::201:1:1:1 0 ::203:3:3:3 0 155 2,::201:1:1:1,0,::203:3:3:3,0,ICMPv6,2020-04-24 06:11:08.808000,2020-04-24 06:11:08.826000,18000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12', '00:03:00:03:00:03:00:03'}"
ICMPv6 ::201:1:1:1 0 ::212:12:12:12 0 155 3,::201:1:1:1,0,::212:12:12:12,0,ICMPv6,2020-04-24 06:11:08.869000,2020-04-24 06:11:10.335000,1466000.0,"{'00:01:00:01:00:01:00:01', '00:12:00:12:00:12:00:12'}"
